transaction_id,project_id,material_id,transaction_date,quantity,transport_mode,distance_covered,CO2_emission,supplier_rating,project_budget
49,47,196,2020-01-05,97,Drone,412.7465983165683,6676.540610882379,,
50,19,750,2020-01-05,70,Rail,383.8140935469975,11656.112920730518,,
51,77,66,2020-01-06,80,Truck,43.41701608406103,986.7070278063924,,
52,70,605,2020-01-06,38,Rail,432.4642522420544,5997.456629372358,,
53,4,662,2020-01-06,30,Drone,45.7603178598368,244.33794219052547,,
54,48,488,2020-01-06,29,Rail,37.43041367301898,304.0285875313702,,
55,8,903,2020-01-06,36,Truck,460.9298927596445,5060.308480048532,,
56,67,255,2020-01-06,32,Truck,237.189557615118,2271.9670631879794,,
57,26,601,2020-01-06,99,Rail,18.07959332623409,829.9933657388805,,
58,24,241,2020-01-06,29,Drone,113.26994238556496,508.8232203992683,,
59,72,335,2020-01-06,24,Truck,49.4206234554896,315.14496969414233,,
60,14,287,2020-01-06,46,Rail,407.876413034476,8939.367087457598,,
61,51,938,2020-01-07,5,Drone,407.9212353079334,1015.01798330231,,
62,36,565,2020-01-07,26,Drone,75.4698164849558,,,
63,96,686,2020-01-07,1,Rail,164.2115711102208,65.06586980966418,,
64,37,709,2020-01-07,11,Rail,331.9342290197334,751.8686597247164,,
65,49,398,2020-01-07,61,Rail,149.8280628755851,4504.600006721166,,
66,87,284,2020-01-07,22,Rail,116.7427010244895,368.6070838514221,,
67,99,454,2020-01-07,40,Truck,316.29030489224164,2011.1418440273844,,
68,22,227,2020-01-07,28,Rail,286.73792066278713,3027.305705267354,,
69,44,703,2020-01-07,70,Truck,368.5543187710491,,,
70,47,26,2020-01-07,60,Truck,275.3078547000717,1951.7949774924984,,
71,41,359,2020-01-08,14,Drone,475.03010319279167,1622.849957976301,,
72,40,355,2020-01-08,30,Truck,388.9215814006544,5744.536176658761,,
73,4,899,2020-01-08,68,Rail,41.25365305398407,723.1786191636893,,
74,79,140,2020-01-08,92,Truck,28.40900009489777,853.3003384068461,,
75,79,764,2020-01-08,79,Truck,487.0556458380558,15018.81975043891,,
76,64,154,2020-01-08,8,Drone,10.23314240731706,33.73615965795557,,
77,34,261,2020-01-08,37,Rail,58.53337050379691,835.995176683618,,
78,8,103,2020-01-08,95,Drone,344.7308691741413,7754.616619547211,,
79,17,43,2020-01-08,45,Drone,495.7623213995199,6362.3104995024205,,
80,55,60,2020-01-08,64,Rail,49.09324471005045,1037.2846429750712,,
81,90,658,2020-01-09,60,Truck,229.08608997967576,5194.2174211252295,,
82,28,1000,2020-01-09,31,Drone,,1402.8374885309756,,
83,65,315,2020-01-09,2,Rail,463.31788754007897,289.9514927429886,,
84,50,505,2020-01-09,48,Truck,454.6507991685312,9012.347306255624,,
85,5,908,2020-01-09,43,Rail,449.9021062504429,5480.11599449692,,
86,71,528,2020-01-09,64,Drone,434.4489727917055,11647.762174403482,,
87,89,265,2020-01-09,47,Rail,298.24348272665634,2137.578871761116,,
88,10,994,2020-01-09,10,Rail,404.9175245140752,786.3856642165048,,
89,57,935,2020-01-09,64,Truck,99.2375129288044,2507.8609460679613,,
90,11,607,2020-01-09,92,Drone,387.6727549344846,16384.011779725606,,
91,45,987,2020-01-10,72,Rail,226.40149441687325,3481.7828458121844,,
92,66,734,2020-01-10,93,Truck,14.324197919510242,368.539277448261,,
93,40,905,2020-01-10,30,Truck,476.53723115695936,4645.181450708711,,
94,14,235,2020-01-10,13,Drone,385.006055676045,1926.128607762569,,
95,93,613,2020-01-10,83,Truck,334.64050375572407,3839.355830157296,,
96,20,929,2020-01-10,2,Truck,315.5826367097058,214.43074724728507,,
97,65,949,2020-01-10,69,Drone,484.6389573660912,13391.04724495665,,
98,19,679,2020-01-10,16,Truck,460.7012486461653,3495.178367735367,,
99,16,811,2020-01-10,34,Drone,95.91417230353632,1223.8292599588297,,
100,15,170,2020-01-10,99,Truck,255.9512283277094,6082.149863166568,,
101,6,194,2020-01-11,50,Drone,363.6700660061779,2839.5229859570463,,
102,62,728,2020-01-11,35,Truck,463.400963135967,8088.371027632826,,
103,46,777,2020-01-11,56,Drone,57.89720296370853,707.379832832654,,
104,35,776,2020-01-11,25,Rail,306.38653705345314,,,
105,75,922,2020-01-11,4,Rail,126.9321585836806,182.8971878041669,,
106,52,915,2020-01-11,48,Truck,438.5846680058745,,,
107,53,153,2020-01-11,96,Truck,164.55732273568984,3789.61828886317,,
108,15,798,2020-01-11,64,Truck,125.20618368839736,2697.19168123485,,
109,7,136,2020-01-11,59,Truck,288.2817314387036,2618.113819757566,,
110,53,978,2020-01-11,94,Truck,57.53211643738296,619.8099857611187,,
111,45,137,2020-01-12,98,Drone,45.430947009415135,1787.4808023174887,,
112,70,268,2020-01-12,89,Rail,141.10861189571995,1997.0676645238543,,
113,98,41,2020-01-12,96,Truck,,4818.868381597213,,
114,36,876,2020-01-12,34,Rail,252.53722471941165,1120.6209910395032,,
115,87,520,2020-01-12,35,Drone,87.95483340046265,1199.7697966446367,,
116,31,929,2020-01-12,29,Drone,166.08053706805313,1318.2372902194215,,
117,58,609,2020-01-12,35,Truck,478.6313531212634,2925.9654955424835,,
118,16,210,2020-01-12,28,Rail,199.25539689477512,1003.8240132664882,,
119,13,739,2020-01-12,58,Truck,409.3013706089567,8468.200952674446,,
120,37,171,2020-01-12,63,Rail,482.700350664146,7700.378282688494,,
121,5,908,2020-01-13,74,Truck,194.42547908799204,1613.3288140232817,,
122,64,284,2020-01-13,77,Drone,278.8618118232243,2996.219322603198,,
123,43,578,2020-01-13,97,Truck,265.338482338361,3999.375706789868,,
124,78,125,2020-01-13,86,Truck,354.0108638779337,6545.406472966058,,
125,35,828,2020-01-13,41,Drone,293.9641614088058,1985.4361976965968,,
126,85,743,2020-01-13,50,Rail,278.7178428887416,4396.59908143222,,
127,49,946,2020-01-13,43,Drone,38.73240496552784,262.95247306920595,,
128,79,994,2020-01-13,74,Truck,311.35728253088547,3935.172000452242,,
129,72,728,2020-01-13,53,Truck,479.18821237568727,4061.518448158449,,
130,68,827,2020-01-13,7,Drone,289.5485429146519,624.0512191849044,,
131,49,160,2020-01-14,17,Drone,11.828230201670037,88.5170066558834,,
132,38,638,2020-01-14,36,Drone,487.0444289309206,8582.615837419857,,
133,75,953,2020-01-14,74,Drone,262.99934900103267,4961.93328658349,,
134,52,544,2020-01-14,88,Drone,365.3946724010083,4275.7608058928645,,
135,1,150,2020-01-14,91,Drone,,896.2424086114429,,
136,33,79,2020-01-14,90,Drone,2869.3752287491207,4153.982426766969,,
137,53,666,2020-01-14,81,Truck,37.60585281397843,940.8687373797076,,
138,52,43,2020-01-14,42,Truck,363.42959278485387,1528.3245471598896,,
139,59,84,2020-01-14,62,Truck,86.47012849563531,1026.1998974364717,,
140,50,465,2020-01-14,52,Drone,67.70236347234561,1350.375844920709,,
141,1,481,2020-01-15,27,Rail,156.81007848000667,824.2801248761189,,
142,37,956,2020-01-15,25,Drone,,4078.4442611006752,,
143,81,717,2020-01-15,79,Drone,80.6892750828738,2540.009772366652,,
144,79,340,2020-01-15,20,Drone,417.1743166628637,3624.089293004769,,
145,83,929,2020-01-15,12,Truck,282.57854765289846,927.2260797089046,,
146,82,731,2020-01-15,1,Drone,102.77467834191977,40.83893136092893,,
147,3,872,2020-01-15,73,Truck,308.0654626530584,5365.480327176161,,
148,41,640,2020-01-15,58,Rail,408.8965110770617,3352.711227416272,,
149,41,685,2020-01-15,30,Rail,232.17279210541207,2137.9054306905005,,
150,29,885,2020-01-15,72,Drone,221.7843741691144,2862.1923989186776,,
151,17,313,2020-01-16,15,Drone,266.26082269572333,1262.0761742837492,,
152,31,1000,2020-01-16,53,Truck,67.673360102738,1298.7694725310946,,
153,16,262,2020-01-16,94,Drone,341.7920405349689,12576.810180571028,,
154,95,339,2020-01-16,18,Truck,160.64552114727553,316.8760272158984,,
155,45,922,2020-01-16,13,Rail,435.74400663833205,655.1559682751546,,
156,40,784,2020-01-16,79,Drone,217.3338937115728,7756.064393692706,,
157,39,816,2020-01-16,61,Rail,493.513739010195,14045.220681684155,,
158,16,977,2020-01-16,45,Truck,498.3425831253354,7767.54148108771,,
159,68,778,2020-01-16,62,Truck,39.60753105897855,262.47097202678793,,
160,84,756,2020-01-16,11,Drone,,2086.036684823662,,
161,54,623,2020-01-17,22,Rail,441.0897277767818,2422.0662040297334,,
162,4,881,2020-01-17,11,Drone,254.5722741728984,1276.5066318649751,,
163,75,661,2020-01-17,52,Drone,220.44955628894124,4767.853926975795,,
164,55,738,2020-01-17,56,Drone,,2474.516053873984,,
165,95,44,2020-01-17,60,Drone,78.51591283070668,1367.236773579723,,
166,48,908,2020-01-17,10,Truck,452.28853157864586,922.7469180779862,,
167,47,54,2020-01-17,82,Drone,281.20504691169623,5261.140596854103,,
168,27,352,2020-01-17,17,Rail,481.3674202353016,,,
169,87,728,2020-01-17,83,Rail,262.3371296296707,9333.2572735926,,
170,4,722,2020-01-17,71,Drone,365.68641202521326,11842.22494063639,,
171,54,226,2020-01-18,96,Rail,252.6717139295457,6140.464706273299,,
172,47,270,2020-01-18,37,Truck,178.8248057246918,1893.8870754188904,,
173,39,835,2020-01-18,39,Truck,99.4057654747213,443.519461089191,,
174,54,222,2020-01-18,86,Truck,,2597.8677129789417,,
175,97,101,2020-01-18,94,Truck,10.3082334042335,122.1487193791735,,
176,68,283,2020-01-18,14,Truck,473.2663644192836,3050.3277789856324,,
177,95,717,2020-01-18,63,Truck,347.21093273153105,6843.974828382698,,
178,98,216,2020-01-18,18,Truck,94.54935573171772,771.232652358145,,
179,72,730,2020-01-18,42,Rail,269.9965514935769,2318.861427498892,,
180,85,4,2020-01-18,68,Truck,425.78272812969306,9796.955705981622,,
181,14,188,2020-01-19,46,Drone,344.35046843381883,4480.552686050175,,
182,89,492,2020-01-19,48,Truck,262.0490250520173,5932.855024270851,,
183,94,441,2020-01-19,31,Truck,13.143799070579922,103.11934800995908,,
184,51,729,2020-01-19,83,Rail,218.562269730707,3960.077662751488,,
185,40,102,2020-01-19,3,Drone,309.1399237299248,363.39887956467794,,
186,36,414,2020-01-19,25,Drone,391.4611381633593,3104.6478812230434,,
187,8,518,2020-01-19,76,Drone,221.88810166929323,2808.701438569677,,
188,51,185,2020-01-19,67,Rail,146.89442366231637,4823.202540844048,,
189,38,737,2020-01-19,60,Rail,22.440909871210444,222.98959793990628,,
190,68,744,2020-01-19,14,Truck,473.0168450698788,3253.25085083618,,
191,79,22,2020-01-20,97,Truck,219.71737988743624,5427.590126728334,,
192,22,273,2020-01-20,64,Rail,267.0926177202633,5069.333559022029,,
193,26,576,2020-01-20,53,Rail,359.55871100335327,4430.149503148501,,
194,22,739,2020-01-20,21,Truck,123.73967542011168,860.5546556162416,,
195,76,157,2020-01-20,90,Rail,467.5434905086053,12407.33793987292,,
196,95,560,2020-01-20,89,Rail,202.4682753368126,7963.184011702477,,
197,31,515,2020-01-20,3,Drone,486.3076912203399,663.3470967512287,,
198,91,163,2020-01-20,11,Truck,484.42102176237546,2526.2639076448504,,
199,82,464,2020-01-20,2,Truck,438.32279600903536,408.2808869954701,,
200,63,528,2020-01-20,75,Truck,107.68019777760236,2304.209562086436,,
201,17,915,2020-01-21,34,Rail,104.27820820993786,998.584360404527,,
202,78,225,2020-01-21,10,Drone,335.61907516362095,1541.155635207018,,
203,68,875,2020-01-21,69,Truck,70.70631026142499,991.3993856407442,,
204,46,464,2020-01-21,23,Drone,377.19336994826887,1116.8548080968544,,
205,36,791,2020-01-21,92,Rail,929.5888190512496,,,
206,63,519,2020-01-21,41,Rail,31.58264394392709,132.85771827294542,,
207,63,258,2020-01-21,70,Drone,168.19674328088797,4290.60616565187,,
208,30,55,2020-01-21,14,Drone,264.2325306924796,1559.5545909701689,,
209,48,737,2020-01-21,29,Rail,65.59813104570436,822.0799005432183,,
210,68,266,2020-01-21,9,Rail,183.95504718968428,556.3478559218273,,
211,38,591,2020-01-22,80,Rail,410.4892706632066,13540.99648055054,,
212,79,868,2020-01-22,23,Rail,,3064.13989605416,,
213,6,829,2020-01-22,77,Truck,120.82050061165276,1543.0373475281851,,
214,82,832,2020-01-22,5,Truck,385.6349966868288,420.631066799085,,
215,16,529,2020-01-22,32,Truck,54.019310062087925,425.0395357163365,,
216,78,100,2020-01-22,25,Truck,188.5384139618237,605.0562557348607,,
217,32,478,2020-01-22,75,Rail,416.7716952134869,9454.908476308068,,
218,6,68,2020-01-22,25,Truck,339.51213668541567,2987.4999748167247,,
219,91,798,2020-01-22,29,Truck,150.79841776810648,1130.0777039597076,,
220,41,898,2020-01-22,12,Drone,129.690440546447,636.5519547848825,,
221,50,635,2020-01-23,3,Drone,151.49496502698952,75.31755247084294,,
222,74,159,2020-01-23,71,Drone,318.45388558751085,4204.159853471615,,
223,50,209,2020-01-23,26,Drone,412.8166815474624,4637.770620159252,,
224,17,340,2020-01-23,58,Truck,222.2532892214887,5956.346510701633,,
225,48,518,2020-01-23,3,Rail,362.24816617518434,234.94098884381347,,
226,87,73,2020-01-23,35,Drone,203.741825250676,2232.111490647247,,
227,29,778,2020-01-23,62,Drone,129.8422743862638,3550.647860690687,,
228,9,138,2020-01-23,97,Truck,312.4804329207884,7378.057041875147,,
229,70,749,2020-01-23,59,Drone,391.5220316707296,10470.056964141995,,
230,28,523,2020-01-23,34,Drone,122.2760792877401,1407.3636678644664,,
231,100,922,2020-01-24,53,Rail,,2724.596280264552,,
232,58,597,2020-01-24,47,Drone,351.9166930673185,4743.396665144116,,
233,43,420,2020-01-24,57,Rail,65.12340706151696,1838.4562301717788,,
234,22,941,2020-01-24,6,Drone,185.0636006071627,311.9272569152039,,
235,70,426,2020-01-24,57,Rail,347.68086001931573,9847.549976594935,,
236,23,425,2020-01-24,90,Rail,349.4026892306677,7144.60945860366,,
237,31,946,2020-01-24,99,Truck,213.81050764710133,4428.345246000682,,
238,35,915,2020-01-24,18,Rail,282.84308082348684,693.7857811631756,,
239,76,605,2020-01-24,40,Rail,21.012665755077503,418.7742126334421,,
240,74,921,2020-01-24,20,Drone,477.1875513323336,2727.9953953086447,,
241,69,598,2020-01-25,44,Truck,443.3933775626893,6439.0087989200765,,
242,40,828,2020-01-25,56,Truck,450.1390149756301,8747.884001782722,,
243,37,92,2020-01-25,50,Drone,424.2293893422033,6686.333669358557,,
244,27,47,2020-01-25,63,Drone,372.13597284032966,11352.970736153686,,
245,37,445,2020-01-25,51,Rail,133.68704526720197,714.761468586162,,
246,87,450,2020-01-25,84,Rail,408.695665088039,5562.298211443063,,
247,99,779,2020-01-25,16,Rail,219.47011087529427,1557.733391637263,,
248,56,955,2020-01-25,65,Rail,482.3344545318608,8670.364775037939,,
249,32,607,2020-01-25,30,Rail,385.3439352216574,5089.392911613569,,
250,9,680,2020-01-25,71,Truck,393.4654125777618,9637.642042130095,,
251,100,94,2020-01-26,45,Rail,302.05009716949206,6077.869445942804,,
252,79,325,2020-01-26,13,Drone,50.95001167716623,274.6725474580462,,
253,50,368,2020-01-26,25,Drone,124.82332043695456,1441.7741308340626,,
254,37,468,2020-01-26,51,Drone,264.1548694215168,2366.5157108485987,,
255,40,563,2020-01-26,47,Rail,61.29952797425393,1208.5695839714317,,
256,32,87,2020-01-26,28,Drone,496.7319154538839,3423.168145088526,,
257,56,677,2020-01-26,73,Rail,303.4298927041212,8825.055788208849,,
258,41,493,2020-01-26,85,Drone,214.1825533186533,4580.551556442594,,
259,94,953,2020-01-26,28,Rail,128.35798686113856,1605.6196505227151,,
260,76,999,2020-01-26,19,Truck,133.33164241676974,522.5159927779197,,
261,88,11,2020-01-27,52,Drone,229.8810543031355,2840.4581835281483,,
262,53,741,2020-01-27,89,Rail,20.8246387582801,529.0151518378409,,
263,32,392,2020-01-27,1,Truck,52.66552373144901,10.784652696812186,,
264,71,122,2020-01-27,30,Truck,260.8547237167721,1013.653969417926,,
265,63,300,2020-01-27,91,Rail,100.30015254360224,2640.831838445766,,
266,19,61,2020-01-27,28,Drone,466.65412815830047,5904.810112693863,,
267,1,565,2020-01-27,55,Truck,80.57499619003406,877.0383179504198,,
268,31,548,2020-01-27,22,Rail,201.0820280594233,930.5072004500004,,
269,74,352,2020-01-27,86,Rail,259.632839862745,5595.508926038335,,
270,84,12,2020-01-27,80,Truck,115.85687211434836,4608.714861681268,,
271,78,856,2020-01-28,47,Drone,484.4934839983192,5427.729653920207,,
272,85,606,2020-01-28,41,Drone,116.64850647697658,1737.7942796038044,,
273,88,952,2020-01-28,82,Truck,441.49226606092407,13050.72172874885,,
274,68,167,2020-01-28,4,Truck,310.634940393837,281.0888398449538,,
275,54,252,2020-01-28,65,Truck,499.0029388905947,6671.992907023296,,
276,9,232,2020-01-28,21,Drone,72.89686321369064,176.3797271278796,,
277,47,21,2020-01-28,76,Rail,118.58443484047964,1333.7846067122312,,
278,69,145,2020-01-28,71,Rail,108.58521748161009,2692.7982610713416,,
279,66,256,2020-01-28,26,Truck,351.8463631036421,1677.10666263849,,
280,81,131,2020-01-28,12,Truck,363.5461317555013,832.7071095458883,,
281,40,136,2020-01-29,91,Drone,,403.9789242997655,,
282,76,960,2020-01-29,37,Rail,394.3984151296082,7274.576877327775,,
283,78,225,2020-01-29,52,Rail,275.3603176127406,5593.83063795744,,
284,1,372,2020-01-29,35,Rail,,1979.8289809491373,,
285,83,77,2020-01-29,48,Truck,85.53091341268104,1660.9916308277056,,
286,61,580,2020-01-29,74,Truck,332.81378286512023,2731.0008461188463,,
287,42,289,2020-01-29,35,Drone,458.86974941917686,2652.900747358437,,
288,48,57,2020-01-29,63,Rail,394.6623638507222,9997.822639370206,,
289,37,481,2020-01-29,6,Truck,182.39375295108167,228.9479659350725,,
290,12,788,2020-01-29,57,Drone,212.20967745233384,3118.776241339625,,
291,45,648,2020-01-30,35,Drone,299.1343799657099,2791.911453906404,,
292,42,902,2020-01-30,14,Drone,372.2943678265168,2340.52766290932,,
293,82,779,2020-01-30,92,Truck,204.659919080784,7505.7250982551,,
294,29,921,2020-01-30,91,Drone,,,,
295,39,932,2020-01-30,10,Truck,270.7321160214605,1256.9640765147903,,
296,70,755,2020-01-30,8,Drone,47.532446069523466,83.75196581384401,,
297,73,829,2020-01-30,74,Drone,106.25329388610815,2188.8119641582643,,
298,48,180,2020-01-30,45,Rail,205.48995098067817,3780.967845460536,,
299,20,537,2020-01-30,88,Truck,4333.377462882077,4544.09807485584,,
300,5,917,2020-01-30,24,Drone,276.61106787767204,682.4496700278904,,
301,57,416,2020-01-31,87,Drone,404.35628678924303,7645.614046900634,,
302,73,773,2020-01-31,28,Truck,192.25314880086847,1104.713107876497,,
303,45,645,2020-01-31,17,Drone,429.6772562600888,,,
304,63,777,2020-01-31,22,Truck,494.255312491145,2846.502454087188,,
305,66,750,2020-01-31,65,Drone,257.72829096864587,3840.957315313255,,
306,71,518,2020-01-31,50,Truck,84.4519699440692,1679.9837015048013,,
307,98,265,2020-01-31,72,Truck,125.48109863854268,4199.432782343774,,
308,84,501,2020-01-31,37,Truck,360.4434191339201,4782.424225318247,,
309,100,34,2020-01-31,30,Rail,86.7927623945009,1148.055392616695,,
310,4,170,2020-01-31,47,Drone,102.299786629211,1548.3139438575918,,
311,40,657,2020-02-01,44,Rail,426.0682954609661,7444.586555628272,,
312,75,193,2020-02-01,12,Rail,422.4637980236059,2185.992148238788,,
313,29,778,2020-02-01,47,Rail,277.29391095218966,3793.7027860935127,,
314,76,257,2020-02-01,11,Drone,101.53171855752323,317.57971826798985,,
315,98,487,2020-02-01,25,Truck,84.81712915887904,578.8364950977045,,
316,12,599,2020-02-01,69,Rail,200.69109522677263,5989.152445807215,,
317,24,306,2020-02-01,12,Truck,350.7149192259902,908.2683726364976,,
318,72,172,2020-02-01,24,Rail,167.26187507119374,916.560172420534,,
319,40,670,2020-02-01,10,Truck,89.30246800690334,,,
320,85,36,2020-02-01,60,Rail,224.78832691588,6441.523988853645,,
321,100,209,2020-02-02,31,Truck,91.976554621281,1286.540593977976,,
322,82,473,2020-02-02,87,Truck,50.25166280491659,853.2008117029816,,
323,77,191,2020-02-02,18,Drone,374.6039208583152,2858.76570551201,,
324,36,117,2020-02-02,78,Drone,214.989935414075,3025.592384308355,,
325,8,414,2020-02-02,2,Rail,43.122923314275525,,,
326,16,403,2020-02-02,13,Drone,465.6622420005121,1147.7403340800263,,
327,9,875,2020-02-02,6,Drone,125.84475878977464,271.36099992376086,,
328,70,718,2020-02-02,66,Rail,359.9258999901356,6945.586142439245,,
329,57,785,2020-02-02,10,Drone,237.1356309718016,431.19245931126846,,
330,10,640,2020-02-02,13,Rail,,21.28816203994016,,
331,92,227,2020-02-03,29,Rail,355.3615511400074,2781.05894187395,,
332,51,453,2020-02-03,80,Drone,127.02874021956946,4899.368340813352,,
333,16,741,2020-02-03,81,Rail,160.40410360073318,4754.019989205157,,
334,70,997,2020-02-03,49,Truck,292.4029325694909,2096.1590922699143,,
335,8,278,2020-02-03,64,Truck,292.5536596943746,7670.022755707347,,
336,65,916,2020-02-03,60,Rail,16.428471869743674,194.67614944184567,,
337,78,95,2020-02-03,33,Drone,53.41386598962339,559.5710595783519,,
338,29,772,2020-02-03,87,Rail,372.61519423989336,6049.273177495786,,
339,78,874,2020-02-03,85,Truck,,15336.257008673829,,
340,3,226,2020-02-03,78,Drone,,3892.408290534193,,
341,51,805,2020-02-04,70,Rail,190.8275686275742,4102.917592792022,,
342,41,491,2020-02-04,37,Truck,189.7293886213801,1519.6886225107626,,
343,32,154,2020-02-04,37,Drone,92.88586790593816,514.6241852695317,,
344,43,427,2020-02-04,16,Rail,202.0832326824504,668.4802421753367,,
345,12,611,2020-02-04,81,Rail,363.0326780356851,9971.520684333516,,
346,79,264,2020-02-04,67,Rail,,3535.167138417707,,
347,52,432,2020-02-04,16,Truck,321.4120581830789,1822.987982880214,,
348,78,112,2020-02-04,5,Truck,196.35132228031657,219.63760901458625,,
349,89,411,2020-02-04,27,Rail,355.0021887421667,2562.609574008548,,
350,82,355,2020-02-04,10,Rail,295.1420317885088,,,
351,51,119,2020-02-05,93,Drone,351.2853587969,9688.35760225459,,
352,34,496,2020-02-05,84,Drone,261.2271137616524,5162.288383701153,,
353,78,609,2020-02-05,91,Drone,353.3271826864599,14384.490488871716,,
354,14,765,2020-02-05,99,Drone,339.2499964367587,14442.28677509324,,
355,27,665,2020-02-05,43,Truck,260.1803145628202,2995.9339890882334,,
356,26,549,2020-02-05,34,Rail,207.26967086559767,1794.9854039185725,,
357,71,809,2020-02-05,96,Rail,83.66362397586722,3246.758565912236,,
358,78,983,2020-02-05,71,Drone,293.82824837356753,10053.947798112593,,
359,86,953,2020-02-05,78,Truck,406.5818383356693,3299.4254312388816,,
360,37,262,2020-02-05,54,Drone,256.74402527081645,6225.739625031153,,
361,4,934,2020-02-06,76,Truck,331.03723972262736,12408.911910301282,,
362,71,864,2020-02-06,40,Drone,147.6818458095116,2552.403364983762,,
363,35,72,2020-02-06,83,Rail,108.72556924256612,3631.1087948324457,,
364,80,647,2020-02-06,70,Truck,,4075.142184458901,,
365,9,513,2020-02-06,98,Truck,104.48659606569034,4285.353472361217,,
366,52,409,2020-02-06,2,Truck,295.2952435455758,215.7432676121129,,
367,64,145,2020-02-06,90,Drone,326.6110864896985,6137.13433912409,,
368,100,134,2020-02-06,39,Truck,175.8421503878107,2785.7531499916827,,
369,71,290,2020-02-06,58,Drone,334.5588206855465,6839.490056607561,,
370,71,478,2020-02-06,80,Rail,,6981.656634557324,,
371,98,342,2020-02-07,91,Drone,77.12420841537431,962.77975663582,,
372,92,53,2020-02-07,9,Rail,77.93553781188014,163.5769474665115,,
373,100,966,2020-02-07,98,Rail,464.54270840497554,17990.70503547737,,
374,31,796,2020-02-07,63,Truck,430.2225008154596,8347.921150564373,,
375,91,178,2020-02-07,91,Rail,433.38239627479066,9938.387096605382,,
376,54,908,2020-02-07,80,Truck,364.0398134716226,8813.11795266568,,
377,12,277,2020-02-07,14,Truck,329.6842490491867,1587.2378044806978,,
378,87,652,2020-02-07,69,Truck,,572.733853904528,,
379,97,485,2020-02-07,67,Rail,85.43129458277765,2842.5188537559684,,
380,42,849,2020-02-07,26,Rail,300.0834059102976,2686.771204030292,,
381,25,66,2020-02-08,61,Drone,,8869.694182801952,,
382,30,694,2020-02-08,25,Drone,328.3932107636163,1175.3321221888648,,
